lane_id,origin_location_id,origin_state,origin_district,destination_state,destination_city,destination_district,road_distance_km,freight_inr_per_quintal,fixed_lane_charge_inr,loading_inr_per_quintal,handling_inr_per_quintal,insurance_inr_per_quintal,expected_transit_days,mode,lane_type,use_case,effective_date,data_status
BLN-E12A85680D,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Andaman and Nicobar Islands,Port Blair,South Andamans,168,164.36,775,10,17,0.45,1,TRUCK,INTRA_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-D746AF9188,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Andhra Pradesh,Vijayawada,NTR,491,318.32,1088,6,18,0.2,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-FF6105E376,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Arunachal Pradesh,Itanagar,Papum Pare,427,300.04,501,11,19,0.35,1,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-F29298A59D,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Assam,Guwahati,Kamrup Metro,363,252.76,814,7,20,0.5,1,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-17DAE6D936,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Bihar,Patna,Patna,559,369.68,1127,12,8,0.25,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-51D5E34256,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Chandigarh,Chandigarh,Chandigarh,495,322.4,540,8,9,0.4,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-A14AF2EA11,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Chhattisgarh,Raipur,Raipur,691,410.32,853,13,10,0.55,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-7E4F0C136E,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Dadra and Nagar Haveli and Daman and Diu,Silvassa,Dadra And Nagar Haveli,627,392.04,1166,9,11,0.3,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-2655F05CA5,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Delhi,Delhi,New Delhi,823,479.96,579,14,12,0.45,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-0180962AC8,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Goa,Panaji,North Goa,759,461.68,892,10,13,0.2,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
