lane_id,origin_location_id,mandi_id,origin_state,origin_district,market_option,market_name,road_distance_km,freight_inr_per_quintal,handling_inr_per_quintal,loading_inr_per_quintal,expected_transit_days,mode,use_case,effective_date,data_status
FML-BADF867241,LOC-DBC2770203,MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,19,31.9,6,4,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-30C6C9CA6A,LOC-DBC2770203,MND-DBAA835FE8,Andaman and Nicobar Islands,Nicobars,B,Nicobars — Secondary Market Yard,35,51.5,11,5,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-D1E12D2362,LOC-DBC2770203,MND-798F392B2F,Andaman and Nicobar Islands,Nicobars,C,Nicobars — Regional Wholesale Market,61,84.1,8,11,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-8447DFEFFF,LOC-842205D316,MND-3870158AF8,Andaman and Nicobar Islands,North And Middle Andaman,A,North And Middle Andaman — Primary Local Mandi,30,50.0,8,8,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-3402F3C4E1,LOC-842205D316,MND-2CB5816500,Andaman and Nicobar Islands,North And Middle Andaman,B,North And Middle Andaman — Secondary Market Yard,9,26.9,13,9,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-867AAEB547,LOC-842205D316,MND-6617B68912,Andaman and Nicobar Islands,North And Middle Andaman,C,North And Middle Andaman — Regional Wholesale Market,55,67.5,6,8,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-F850CB1742,LOC-0D5274856D,MND-D4AD3E7E77,Andaman and Nicobar Islands,South Andamans,A,South Andamans — Primary Local Mandi,46,70.6,13,10,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-6C22ED1F53,LOC-0D5274856D,MND-250651F20F,Andaman and Nicobar Islands,South Andamans,B,South Andamans — Secondary Market Yard,79,105.9,12,8,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-1123D68B42,LOC-0D5274856D,MND-D82C50E3D0,Andaman and Nicobar Islands,South Andamans,C,South Andamans — Regional Wholesale Market,73,89.3,5,11,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-3B99D0899D,LOC-8E856935B9,MND-DCA5497DC3,Andhra Pradesh,Anakapalli,A,Anakapalli — Primary Local Mandi,67,89.7,6,7,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-7EEAEA8D64,LOC-8E856935B9,MND-B8868C9941,Andhra Pradesh,Anakapalli,B,Anakapalli — Secondary Market Yard,54,81.4,8,10,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-57D50A2C98,LOC-8E856935B9,MND-F22FAD24D0,Andhra Pradesh,Anakapalli,C,Anakapalli — Regional Wholesale Market,16,36.6,10,9,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-1A5EFC2A4F,LOC-DD49E1527E,MND-FE7C6D1CB1,Andhra Pradesh,Ananthapuramu,A,Ananthapuramu — Primary Local Mandi,60,87.0,12,4,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-E7EC4F4A43,LOC-DD49E1527E,MND-10FBAEB26C,Andhra Pradesh,Ananthapuramu,B,Ananthapuramu — Secondary Market Yard,67,87.7,14,9,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-ABDDCF2226,LOC-DD49E1527E,MND-8494D0215E,Andhra Pradesh,Ananthapuramu,C,Ananthapuramu — Regional Wholesale Market,14,31.4,10,10,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-482B4F572F,LOC-557FEAA102,MND-2237D6E312,Andhra Pradesh,Annamayya,A,Annamayya — Primary Local Mandi,70,98.0,5,9,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-83F882B220,LOC-557FEAA102,MND-3793F08291,Andhra Pradesh,Annamayya,B,Annamayya — Secondary Market Yard,11,26.1,8,10,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-CC412C6E8A,LOC-557FEAA102,MND-C6CD049857,Andhra Pradesh,Annamayya,C,Annamayya — Regional Wholesale Market,38,55.8,8,8,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-15AC60A8E3,LOC-90114A8985,MND-91BFA54454,Andhra Pradesh,Bapatla,A,Bapatla — Primary Local Mandi,37,59.7,13,9,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-6BD9A3EDC5,LOC-90114A8985,MND-E5BB34B152,Andhra Pradesh,Bapatla,B,Bapatla — Secondary Market Yard,38,62.8,14,7,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-0177F11C0C,LOC-90114A8985,MND-ED958F0323,Andhra Pradesh,Bapatla,C,Bapatla — Regional Wholesale Market,42,59.2,11,7,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-C51FC29757,LOC-E5CE3FCC4E,MND-5D960DC1E2,Andhra Pradesh,Chittoor,A,Chittoor — Primary Local Mandi,53,64.3,12,6,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-6314E4CA71,LOC-E5CE3FCC4E,MND-15DB908FB1,Andhra Pradesh,Chittoor,B,Chittoor — Secondary Market Yard,5,18,12,4,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-A0A2D4FF66,LOC-E5CE3FCC4E,MND-1C1A0A40FB,Andhra Pradesh,Chittoor,C,Chittoor — Regional Wholesale Market,7,24.7,6,8,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-4446AB75A5,LOC-FE58EC8CBA,MND-28502C7089,Andhra Pradesh,East Godavari,A,East Godavari — Primary Local Mandi,59,84.9,8,10,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-14C99A4B8C,LOC-FE58EC8CBA,MND-D8467372B8,Andhra Pradesh,East Godavari,B,East Godavari — Secondary Market Yard,27,37.7,9,5,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-4CD6D6BC6B,LOC-FE58EC8CBA,MND-C9C38E8ADA,Andhra Pradesh,East Godavari,C,East Godavari — Regional Wholesale Market,74,97.4,14,10,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
