location_id,state,district,location_type,display_name,primary_buyer_hub_city,primary_buyer_hub_district,data_status,verified
LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,DISTRICT,"Nicobars, Andaman and Nicobar Islands",Port Blair,South Andamans,SYNTHETIC_DEMO,FALSE
LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,DISTRICT,"North And Middle Andaman, Andaman and Nicobar Islands",Port Blair,South Andamans,SYNTHETIC_DEMO,FALSE
LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,DISTRICT,"South Andamans, Andaman and Nicobar Islands",Port Blair,South Andamans,SYNTHETIC_DEMO,FALSE
LOC-8E856935B9,Andhra Pradesh,Anakapalli,DISTRICT,"Anakapalli, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-DD49E1527E,Andhra Pradesh,Ananthapuramu,DISTRICT,"Ananthapuramu, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-557FEAA102,Andhra Pradesh,Annamayya,DISTRICT,"Annamayya, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-90114A8985,Andhra Pradesh,Bapatla,DISTRICT,"Bapatla, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-E5CE3FCC4E,Andhra Pradesh,Chittoor,DISTRICT,"Chittoor, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-FE58EC8CBA,Andhra Pradesh,East Godavari,DISTRICT,"East Godavari, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-8B822D4362,Andhra Pradesh,Eluru,DISTRICT,"Eluru, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-70601242A0,Andhra Pradesh,Guntur,DISTRICT,"Guntur, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-F399370809,Andhra Pradesh,Kakinada,DISTRICT,"Kakinada, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-8B60F404CB,Andhra Pradesh,Krishna,DISTRICT,"Krishna, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-97856C020E,Andhra Pradesh,Kurnool,DISTRICT,"Kurnool, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-B91C854C06,Andhra Pradesh,Markapuram,DISTRICT,"Markapuram, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-77871AC36C,Andhra Pradesh,Nandyal,DISTRICT,"Nandyal, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-5E64F27011,Andhra Pradesh,Ntr,DISTRICT,"Ntr, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-8DB647E302,Andhra Pradesh,Palnadu,DISTRICT,"Palnadu, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-13F8AAD2C1,Andhra Pradesh,Parvathipuram Manyam,DISTRICT,"Parvathipuram Manyam, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-9615D776A1,Andhra Pradesh,Prakasam,DISTRICT,"Prakasam, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-A572998DDC,Andhra Pradesh,Sri Potti Sriramulu Nellore,DISTRICT,"Sri Potti Sriramulu Nellore, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-C137ADD22E,Andhra Pradesh,Sri Sathya Sai,DISTRICT,"Sri Sathya Sai, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-DB0FA299A3,Andhra Pradesh,Srikakulam,DISTRICT,"Srikakulam, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
