mandi_id,state,district,market_option,market_name,commodity,category,variety,min_price_inr_per_quintal,modal_price_inr_per_quintal,max_price_inr_per_quintal,price_date,market_arrivals_tonnes,price_status,price_source,is_official_price
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Apple,Fruits,Royal Delicious,34940,38700,42250,2026-09-20,665.17,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Ashwagandha,Flowers & Medicinal Plants,Ashwagandha,12245,13830,15775,2026-09-20,436.75,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Banana,Fruits,Karpura,3580,4045,4655,2026-09-20,439.7,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Berseem,Fodder Crops,Green Fodder,200,220,240,2026-09-20,196.47,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Black Gram,Pulses & Legumes,Urda/Urd,7605,8415,9365,2026-09-20,789.75,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Chickpea,Pulses & Legumes,,5510,6030,6780,2026-09-20,1077.84,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Coconut,Plantation & Beverage Crops,Small,22080,23910,27440,2026-09-20,625.03,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Coffee,Plantation & Beverage Crops,,16405,17865,20050,2026-09-20,962.77,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Cotton,Cash & Fibre Crops,Without Ginned Cotton,6060,6565,7375,2026-09-20,628.81,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Cumin,Spices & Condiments,Cummin Seed(Jeera),17865,20175,21980,2026-09-20,897.87,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Dry Red Chilli,Spices & Condiments,Red New,21865,23545,25435,2026-09-20,665.65,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Fodder Maize,Fodder Crops,Local,2690,2995,3395,2026-09-20,317.33,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Green Gram,Pulses & Legumes,Other,7255,8410,9415,2026-09-20,847.69,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Groundnut,Oilseeds,Other,7615,8285,9340,2026-09-20,1079.49,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Jute,Cash & Fibre Crops,Other,12365,14230,15830,2026-09-20,169.49,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Lucerne,Fodder Crops,,470,535,575,2026-09-20,139.91,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Maize,Cereals & Grains,Local,2340,2595,2970,2026-09-20,805.46,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Mango,Fruits,Other,955,1120,1240,2026-09-20,816.06,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Marigold,Flowers & Medicinal Plants,,1900,2220,2455,2026-09-20,560.0,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
MND-76BF6E6626,Andaman and Nicobar Islands,Nicobars,A,Nicobars — Primary Local Mandi,Mustard,Oilseeds,Other,6580,7475,8315,2026-09-20,1026.46,SYNTHETIC_DEMO,Generated from user-provided anchor dataset,False
