date,district,state,latitude,longitude,temp_mean,temp_min,temp_max,rainfall,humidity
2023-01-01,Nashik,Maharashtra,19.9975,73.7898,23.42,19.34,28.11,0.0,53.77
2023-01-02,Nashik,Maharashtra,19.9975,73.7898,19.54,12.86,26.42,0.0,55.29
2023-01-03,Nashik,Maharashtra,19.9975,73.7898,17.71,13.16,24.85,0.0,54.44
2023-01-04,Nashik,Maharashtra,19.9975,73.7898,19.91,14.09,26.82,0.0,49.35
2023-01-05,Nashik,Maharashtra,19.9975,73.7898,20.32,16.17,24.87,0.0,61.87
2023-01-06,Nashik,Maharashtra,19.9975,73.7898,20.08,14.35,27.02,0.0,51.23
2023-01-07,Nashik,Maharashtra,19.9975,73.7898,18.01,11.15,23.38,0.0,43.05
2023-01-08,Nashik,Maharashtra,19.9975,73.7898,20.22,13.45,24.61,0.0,57.61
2023-01-09,Nashik,Maharashtra,19.9975,73.7898,20.8,16.32,25.9,0.0,51.98
2023-01-10,Nashik,Maharashtra,19.9975,73.7898,20.63,15.17,27.36,0.0,44.91
2023-01-11,Nashik,Maharashtra,19.9975,73.7898,18.82,13.32,23.37,0.0,51.18
2023-01-12,Nashik,Maharashtra,19.9975,73.7898,19.73,13.1,27.53,0.0,42.3
2023-01-13,Nashik,Maharashtra,19.9975,73.7898,22.59,17.62,27.06,0.0,46.34
2023-01-14,Nashik,Maharashtra,19.9975,73.7898,21.36,15.35,27.97,0.0,52.99
2023-01-15,Nashik,Maharashtra,19.9975,73.7898,18.64,12.66,24.76,0.0,53.66
2023-01-16,Nashik,Maharashtra,19.9975,73.7898,20.12,14.06,26.91,0.0,49.12
2023-01-17,Nashik,Maharashtra,19.9975,73.7898,18.8,14.65,26.41,0.0,45.55
2023-01-18,Nashik,Maharashtra,19.9975,73.7898,21.94,16.81,25.99,0.0,57.92
2023-01-19,Nashik,Maharashtra,19.9975,73.7898,21.17,15.04,27.87,0.0,37.15
2023-01-20,Nashik,Maharashtra,19.9975,73.7898,18.84,14.12,26.72,0.0,39.41
2023-01-21,Nashik,Maharashtra,19.9975,73.7898,19.84,13.64,27.49,0.0,52.91
2023-01-22,Nashik,Maharashtra,19.9975,73.7898,20.75,14.54,25.7,0.0,49.11
2023-01-23,Nashik,Maharashtra,19.9975,73.7898,19.37,14.77,26.22,0.0,58.44
2023-01-24,Nashik,Maharashtra,19.9975,73.7898,18.92,13.85,23.88,0.0,37.99
2023-01-25,Nashik,Maharashtra,19.9975,73.7898,22.02,16.93,27.44,0.0,43.31
2023-01-26,Nashik,Maharashtra,19.9975,73.7898,22.68,18.45,30.25,0.0,60.15
2023-01-27,Nashik,Maharashtra,19.9975,73.7898,19.16,13.03,26.69,0.0,51.52
2023-01-28,Nashik,Maharashtra,19.9975,73.7898,20.65,14.91,26.09,0.0,48.57
2023-01-29,Nashik,Maharashtra,19.9975,73.7898,21.11,16.98,28.65,0.0,45.75
2023-01-30,Nashik,Maharashtra,19.9975,73.7898,21.19,14.21,25.44,0.0,50.98
2023-01-31,Nashik,Maharashtra,19.9975,73.7898,21.04,15.4,26.1,0.0,50.16
2023-02-01,Nashik,Maharashtra,19.9975,73.7898,22.89,17.36,27.78,0.0,46.28
2023-02-02,Nashik,Maharashtra,19.9975,73.7898,20.65,15.74,27.09,0.0,51.46
2023-02-03,Nashik,Maharashtra,19.9975,73.7898,21.49,14.88,29.06,0.0,46.63
2023-02-04,Nashik,Maharashtra,19.9975,73.7898,20.14,15.65,24.88,0.0,54.68
2023-02-05,Nashik,Maharashtra,19.9975,73.7898,20.53,13.78,26.94,0.0,51.28
2023-02-06,Nashik,Maharashtra,19.9975,73.7898,19.26,13.33,26.49,0.0,40.87
2023-02-07,Nashik,Maharashtra,19.9975,73.7898,19.7,15.09,26.22,5.47,62.3
2023-02-08,Nashik,Maharashtra,19.9975,73.7898,17.78,12.51,22.84,0.0,52.69
