order_id,commodity,seller_type,buyer_type,location,state,quantity,unit,listed_price_per_unit,negotiated_price_per_unit,final_price_per_unit,order_date,order_status,fulfillment_days,delivery_outcome,platform_fee_inr
ORD-SYNTH-1000,Wheat,FARMER,WHOLESALER,Nashik,Maharashtra,4026.97,KG,25.33,23.54,23.54,2025-01-01,COMPLETED,3,DELIVERED_ON_TIME,1895.9
ORD-SYNTH-1001,Tomato,FARMER,BULK_PROCESSOR,Hubballi,Karnataka,2165.54,KG,29.7,28.82,28.82,2025-01-01,COMPLETED,3,DELIVERED_ON_TIME,1248.22
ORD-SYNTH-1002,Onion,FARMER,RETAILER,Nashik,Maharashtra,1746.71,KG,31.69,30.95,30.95,2025-01-02,COMPLETED,1,DELIVERED_LATE,1081.21
ORD-SYNTH-1003,Potato,FPO,RETAILER,Pune,Maharashtra,641.79,KG,24.49,23.98,23.98,2025-01-02,COMPLETED,4,DELIVERED_ON_TIME,307.8
ORD-SYNTH-1004,Rice,FPO,WHOLESALER,Hubballi,Karnataka,3371.6,KG,63.25,63.02,63.02,2025-01-03,COMPLETED,1,DELIVERED_ON_TIME,4249.56
ORD-SYNTH-1005,Wheat,FPO,BULK_PROCESSOR,Nashik,Maharashtra,1232.11,KG,27.05,25.78,25.78,2025-01-03,COMPLETED,3,DELIVERED_ON_TIME,635.28
ORD-SYNTH-1006,Tomato,FARMER,BULK_PROCESSOR,Hubballi,Karnataka,2514.5,KG,28.87,28.57,28.57,2025-01-04,COMPLETED,2,DELIVERED_ON_TIME,1436.79
ORD-SYNTH-1007,Onion,FPO,BULK_PROCESSOR,Nashik,Maharashtra,2597.71,KG,33.75,31.06,31.06,2025-01-04,COMPLETED,2,DELIVERED_ON_TIME,1613.7
ORD-SYNTH-1008,Potato,FARMER,RETAILER,Pune,Maharashtra,978.33,KG,23.97,23.36,23.36,2025-01-05,COMPLETED,5,DELIVERED_ON_TIME,457.08
ORD-SYNTH-1009,Rice,FPO,BULK_PROCESSOR,Hubballi,Karnataka,1181.01,KG,57.54,55.76,55.76,2025-01-05,COMPLETED,1,DELIVERED_ON_TIME,1317.06
ORD-SYNTH-1010,Wheat,FPO,RETAILER,Nashik,Maharashtra,4582.91,KG,26.6,26.41,26.41,2025-01-06,COMPLETED,3,DELIVERED_ON_TIME,2420.69
ORD-SYNTH-1011,Tomato,FARMER,BULK_PROCESSOR,Hubballi,Karnataka,3260.62,KG,27.65,27.62,27.62,2025-01-06,COMPLETED,2,DELIVERED_ON_TIME,1801.17
ORD-SYNTH-1012,Onion,FPO,BULK_PROCESSOR,Nashik,Maharashtra,1420.78,KG,36.15,34.71,34.71,2025-01-07,COMPLETED,1,DELIVERED_ON_TIME,986.31
ORD-SYNTH-1013,Potato,FPO,WHOLESALER,Pune,Maharashtra,1155.88,KG,22.25,22.2,22.2,2025-01-07,COMPLETED,2,DELIVERED_ON_TIME,513.21
ORD-SYNTH-1014,Rice,FPO,WHOLESALER,Hubballi,Karnataka,2524.26,KG,60.37,59.73,59.73,2025-01-08,COMPLETED,2,DELIVERED_ON_TIME,3015.48
ORD-SYNTH-1015,Wheat,FPO,BULK_PROCESSOR,Nashik,Maharashtra,974.64,KG,27.48,27.18,27.18,2025-01-08,COMPLETED,3,DELIVERED_ON_TIME,529.81
ORD-SYNTH-1016,Tomato,FPO,RETAILER,Hubballi,Karnataka,1212.59,KG,26.8,25.12,25.12,2025-01-09,CANCELLED,3,CANCELLED,609.21
ORD-SYNTH-1017,Onion,FARMER,RETAILER,Nashik,Maharashtra,1553.0,KG,31.81,29.73,29.73,2025-01-09,COMPLETED,3,DELIVERED_ON_TIME,923.41
ORD-SYNTH-1018,Potato,FPO,WHOLESALER,Pune,Maharashtra,4629.47,KG,22.79,21.17,21.17,2025-01-10,COMPLETED,1,DELIVERED_ON_TIME,1960.12
ORD-SYNTH-1019,Rice,FARMER,RETAILER,Hubballi,Karnataka,4615.44,KG,60.52,57.63,57.63,2025-01-10,COMPLETED,2,DELIVERED_ON_TIME,5319.76
ORD-SYNTH-1020,Wheat,FPO,BULK_PROCESSOR,Nashik,Maharashtra,1595.44,KG,25.21,23.22,23.22,2025-01-11,COMPLETED,2,DELIVERED_LATE,740.92
ORD-SYNTH-1021,Tomato,FARMER,RETAILER,Hubballi,Karnataka,795.68,KG,26.91,25.89,25.89,2025-01-11,COMPLETED,2,DELIVERED_ON_TIME,412.0
ORD-SYNTH-1022,Onion,FPO,RETAILER,Nashik,Maharashtra,2845.77,KG,31.27,29.98,29.98,2025-01-12,COMPLETED,3,DELIVERED_LATE,1706.32
ORD-SYNTH-1023,Potato,FPO,BULK_PROCESSOR,Pune,Maharashtra,1453.54,KG,21.86,21.41,21.41,2025-01-12,COMPLETED,2,DELIVERED_ON_TIME,622.41
