date,commodity,market,district,state,variety,grade,min_price,max_price,modal_price,arrivals
2023-01-02,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1892.13,2079.7,1981.98,4121.9
2023-01-03,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1909.44,2269.94,2091.37,3962.22
2023-01-04,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1717.63,2042.19,1895.09,2774.42
2023-01-05,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1667.86,1911.49,1777.76,5278.7
2023-01-06,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1785.09,2080.63,1937.31,3657.38
2023-01-07,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1761.75,2122.96,1916.94,3850.03
2023-01-09,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2070.16,2325.93,2191.68,1976.06
2023-01-10,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2196.45,2448.09,2317.98,3625.98
2023-01-11,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1953.76,2118.17,2038.09,3763.12
2023-01-12,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1766.12,2112.16,1920.23,3445.17
2023-01-13,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1898.95,2086.02,1984.32,3874.14
2023-01-14,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1883.95,2159.09,2009.17,3871.17
2023-01-16,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2098.7,2340.35,2199.45,4956.88
2023-01-17,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1876.6,2249.59,2072.81,2987.14
2023-01-18,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1637.33,1865.44,1745.8,4188.74
2023-01-19,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1804.08,2105.93,1965.99,2675.28
2023-01-20,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1780.3,2106.05,1945.86,4149.71
2023-01-21,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1875.56,2263.13,2072.28,4183.58
2023-01-23,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1754.63,2081.3,1930.63,4331.5
2023-01-24,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1840.42,2145.95,2006.91,4192.82
2023-01-25,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1813.06,2228.04,2004.51,4116.4
2023-01-26,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1827.94,2212.41,2021.9,3763.82
2023-01-27,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1959.18,2229.69,2082.97,3800.19
2023-01-28,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1977.36,2314.95,2139.55,4860.11
2023-01-29,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2026.37,2456.82,2208.14,3393.44
2023-01-30,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1830.72,2054.8,1925.64,3783.51
2023-01-31,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1967.75,2261.19,2127.11,4636.97
2023-02-01,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2170.16,2460.03,2309.53,3052.55
2023-02-02,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2022.0,2436.6,2215.19,4228.4
2023-02-03,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2087.05,2331.05,2214.85,4534.67
2023-02-04,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1951.88,2183.96,2071.56,3904.94
2023-02-06,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2111.93,2510.61,2285.56,3079.27
2023-02-07,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2198.28,2608.59,2414.25,4089.84
2023-02-08,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2137.27,2558.03,2336.05,3883.71
2023-02-09,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2066.95,2409.38,2210.78,3224.83
2023-02-10,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2168.61,2581.36,2387.31,2774.86
2023-02-11,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2229.31,2547.1,2373.04,3397.43
2023-02-12,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1922.74,2380.1,2119.58,3025.9
2023-02-13,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2057.42,2288.37,2181.39,3122.78
2023-02-14,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2164.67,2388.83,2284.77,3882.23
2023-02-15,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2111.07,2334.29,2226.81,2870.86
2023-02-16,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1957.18,2386.15,2155.73,3643.46
2023-02-17,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2418.07,2670.24,2554.15,3767.86
2023-02-18,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1907.73,2158.82,2043.82,2031.74
2023-02-20,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2015.13,2426.87,2202.02,3493.71
2023-02-21,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2032.17,2331.45,2165.81,2937.45
2023-02-22,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2303.57,2688.18,2512.64,4355.68
2023-02-23,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1933.07,2230.61,2073.12,3584.52
2023-02-24,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2036.01,2377.52,2190.8,3314.37
2023-02-25,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2105.37,2542.54,2308.96,2483.1
2023-02-27,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1887.85,2221.24,2068.76,2563.87
2023-02-28,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1924.5,2336.35,2102.99,3680.78
2023-03-01,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1929.08,2311.85,2116.91,2788.56
2023-03-02,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2298.35,2782.85,2553.69,3425.9
2023-03-03,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2394.61,2607.75,2501.24,2999.22
2023-03-04,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2315.5,2695.4,2483.44,1763.13
2023-03-06,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1998.61,2215.41,2101.38,4054.21
2023-03-07,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2125.7,2485.5,2300.12,2429.18
2023-03-08,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2067.11,2380.59,2240.15,2353.45
2023-03-09,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2007.91,2473.4,2210.99,3220.43
2023-03-10,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2219.29,2517.22,2356.11,3612.63
2023-03-11,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2271.24,2796.21,2503.75,3960.3
2023-03-13,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2271.09,2739.73,2482.06,3445.99
2023-03-14,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2146.81,2470.36,2317.98,3692.42
2023-03-15,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2299.06,2562.88,2420.29,2788.91
2023-03-16,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2073.0,2475.15,2247.14,2919.28
2023-03-17,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2245.27,2471.33,2346.7,2692.74
2023-03-18,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2164.28,2573.99,2349.78,4091.99
2023-03-20,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2249.44,2701.11,2443.18,3653.64
2023-03-21,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2280.34,2516.02,2379.5,4030.6
2023-03-22,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2273.31,2482.35,2368.49,3092.34
2023-03-23,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2224.62,2589.93,2405.5,3373.89
2023-03-24,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2108.65,2545.13,2325.43,2695.45
2023-03-25,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2036.77,2374.62,2194.89,2017.99
2023-03-27,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2402.37,2869.09,2638.9,3017.62
