N,P,K,temperature,humidity,ph,rainfall,crop
85,37,42,21.842,74.0279,6.9631,257.7097,rice
79,45,43,22.3796,79.0031,7.4547,207.335,rice
86,45,45,24.9946,82.0262,5.8007,261.0882,rice
95,42,45,24.7207,82.2349,6.7815,275.6691,rice
78,47,33,23.4582,79.7497,6.1747,247.403,rice
78,51,35,23.7347,85.1142,6.2564,291.3039,rice
96,63,43,26.0553,76.6619,6.2038,211.7863,rice
88,49,43,22.3169,81.2881,6.068,197.6604,rice
75,50,43,24.5942,82.6015,6.5243,181.6384,rice
85,47,59,23.0956,84.5722,6.0845,279.8813,rice
75,33,43,23.0646,85.5581,6.6352,254.631,rice
75,48,46,25.6976,76.3768,6.4749,233.3325,rice
82,48,45,25.1508,74.3294,6.3805,243.3991,rice
61,68,43,25.127,88.3884,6.0462,201.2353,rice
63,46,38,26.111,83.6616,6.2116,300.0,rice
74,50,44,23.542,78.2576,6.8777,238.8766,rice
70,48,36,24.8639,89.7558,6.7505,238.2818,rice
83,39,39,22.8795,82.5784,6.0112,256.773,rice
71,57,38,24.1483,87.8965,6.5497,249.4303,rice
66,54,40,23.2397,82.3376,6.8757,241.7165,rice
95,54,52,23.694,92.3037,5.6653,211.2858,rice
78,41,31,24.6903,90.7767,6.7717,249.1441,rice
81,59,43,21.8636,80.7552,6.1687,291.4607,rice
66,37,32,27.6848,86.8579,6.7853,275.3626,rice
75,53,38,21.488,85.2269,6.1184,282.7956,rice
81,66,45,21.0716,88.8432,5.5976,219.6635,rice
68,40,40,25.8162,77.1754,5.6862,205.3119,rice
84,43,35,25.0833,85.4303,6.524,231.2264,rice
74,49,36,24.7482,87.2921,6.6299,236.6717,rice
77,44,43,24.7567,73.2063,6.0478,267.8257,rice
74,36,36,23.4755,76.0837,6.8193,184.2261,rice
99,49,41,21.7055,71.8038,5.6692,280.8865,rice
80,40,40,23.6516,80.653,6.467,230.2598,rice
69,52,37,22.1457,85.5877,5.8945,222.1936,rice
88,41,51,25.4502,89.5118,6.1741,204.6369,rice
68,60,43,23.2059,82.3705,6.5237,185.3543,rice
82,42,30,21.849,90.1431,6.0698,259.6951,rice
60,45,41,22.8572,75.0995,6.3077,237.1995,rice
67,55,37,24.3259,73.4831,7.0031,196.3012,rice
82,38,44,22.3726,81.7223,6.2116,196.1476,rice
87,50,36,21.8556,83.9203,6.9178,224.9265,rice
82,58,39,23.9874,81.8365,5.9351,285.0706,rice
79,35,43,23.9899,71.6628,6.7649,227.2123,rice
77,49,44,22.4861,81.5544,7.2208,189.9057,rice
65,50,34,22.5579,75.4777,5.2642,227.6277,rice
73,54,38,23.9641,85.3484,6.1016,226.8183,rice
75,38,38,20.6038,83.833,6.7885,154.0934,rice
91,37,37,20.6851,77.3006,6.3985,233.3712,rice
83,52,49,22.0631,79.4307,6.6856,228.072,rice
62,50,42,23.0731,76.7039,6.198,255.8862,rice
83,50,34,24.1218,81.6866,6.5433,290.4687,rice
76,51,45,26.4507,86.7757,6.4222,268.797,rice
73,43,51,25.2153,77.0714,7.0839,226.9333,rice
86,50,45,23.1801,84.5202,6.6272,201.8042,rice
