date,district,state,latitude,longitude,temp_mean,temp_min,temp_max,rainfall,humidity
2023-01-01,Nashik,Maharashtra,19.9975,73.7898,23.47,19.37,28.25,0.0,64.5
2023-01-01,Pune,Maharashtra,18.5204,73.8567,19.35,12.23,26.6,0.0,68.5
2023-01-01,Hubballi,Karnataka,15.3647,75.124,20.73,16.09,28.26,0.0,63.0
2023-01-01,Kolar,Karnataka,13.1367,78.1292,19.97,13.86,27.25,0.0,62.6
2023-01-01,Ludhiana,Punjab,30.901,75.8573,15.57,11.4,20.19,0.0,62.9
2023-01-01,Agra,Uttar Pradesh,27.1767,78.0081,17.83,11.8,25.14,0.0,52.8
2023-01-02,Nashik,Maharashtra,19.9975,73.7898,18.21,10.87,23.75,0.0,57.4
2023-01-02,Pune,Maharashtra,18.5204,73.8567,20.17,12.94,24.61,0.0,70.1
2023-01-02,Hubballi,Karnataka,15.3647,75.124,23.94,19.38,29.18,0.0,61.3
2023-01-02,Kolar,Karnataka,13.1367,78.1292,20.8,15.1,27.86,0.0,59.6
2023-01-02,Ludhiana,Punjab,30.901,75.8573,14.19,8.44,18.81,0.79,55.8
2023-01-02,Agra,Uttar Pradesh,27.1767,78.0081,19.09,11.77,25.24,0.0,51.4
2023-01-03,Nashik,Maharashtra,19.9975,73.7898,18.59,14.17,22.82,0.0,66.4
2023-01-03,Pune,Maharashtra,18.5204,73.8567,20.69,14.41,26.6,0.0,69.1
2023-01-03,Hubballi,Karnataka,15.3647,75.124,23.93,18.08,31.3,0.0,55.5
2023-01-03,Kolar,Karnataka,13.1367,78.1292,21.03,14.6,27.27,0.0,67.1
2023-01-03,Ludhiana,Punjab,30.901,75.8573,14.65,9.85,18.87,0.0,51.2
2023-01-03,Agra,Uttar Pradesh,27.1767,78.0081,18.13,11.92,23.83,7.39,49.1
2023-01-04,Nashik,Maharashtra,19.9975,73.7898,21.47,14.98,28.51,0.0,53.4
2023-01-04,Pune,Maharashtra,18.5204,73.8567,18.88,14.04,27.24,0.0,57.9
2023-01-04,Hubballi,Karnataka,15.3647,75.124,23.02,16.45,31.13,0.0,61.9
2023-01-04,Kolar,Karnataka,13.1367,78.1292,20.94,14.37,26.02,0.0,62.4
2023-01-04,Ludhiana,Punjab,30.901,75.8573,14.79,10.09,22.0,0.0,60.6
2023-01-04,Agra,Uttar Pradesh,27.1767,78.0081,16.8,11.55,21.88,0.0,44.0
2023-01-05,Nashik,Maharashtra,19.9975,73.7898,22.28,17.01,27.88,0.0,57.5
2023-01-05,Pune,Maharashtra,18.5204,73.8567,22.66,18.4,30.67,0.0,71.8
