order_id,product_id,seller_id,buyer_id,commodity,district,state,quantity_kg,unit,listed_unit_price,negotiated_unit_price,final_unit_price,order_date,status,fulfillment_days,delivery_outcome,dataset_nature
ORD-DEMO-1001,PROD-TOM-101,SELLER-FARMER-2,BUYER-RETAIL-2,Tomato,Hubballi,Karnataka,406.6,KG,29.55,28.11,28.11,2025-01-02,DELIVERED,2,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1002,PROD-ONI-102,SELLER-FARMER-3,BUYER-RETAIL-3,Onion,Nashik,Maharashtra,182.8,KG,33.14,33.14,33.14,2025-01-03,DELIVERED,3,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1003,PROD-POT-103,SELLER-FARMER-4,BUYER-RETAIL-4,Potato,Pune,Maharashtra,356.3,KG,24.38,22.61,22.61,2025-01-04,DELIVERED,2,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1004,PROD-RIC-104,SELLER-FARMER-5,BUYER-RETAIL-5,Rice,Hubballi,Karnataka,361.0,KG,52.62,52.62,52.62,2025-01-05,DELIVERED,3,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1005,PROD-WHE-105,SELLER-FARMER-6,BUYER-RETAIL-6,Wheat,Nashik,Maharashtra,386.2,KG,25.07,24.07,24.07,2025-01-06,DELIVERED,2,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1006,PROD-TOM-106,SELLER-FARMER-7,BUYER-RETAIL-7,Tomato,Hubballi,Karnataka,220.9,KG,28.18,28.18,28.18,2025-01-07,DELIVERED,4,DELIVERED_SLIGHT_DELAY,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1007,PROD-ONI-107,SELLER-FARMER-8,BUYER-RETAIL-8,Onion,Nashik,Maharashtra,63.6,KG,33.97,33.97,33.97,2025-01-08,DELIVERED,3,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1008,PROD-POT-108,SELLER-FARMER-9,BUYER-RETAIL-9,Potato,Pune,Maharashtra,487.3,KG,22.16,22.16,22.16,2025-01-09,DELIVERED,2,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1009,PROD-RIC-109,SELLER-FARMER-10,BUYER-RETAIL-10,Rice,Hubballi,Karnataka,118.3,KG,61.5,59.2,59.2,2025-01-10,DELIVERED,4,DELIVERED_SLIGHT_DELAY,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1010,PROD-WHE-110,SELLER-FARMER-11,BUYER-RETAIL-11,Wheat,Nashik,Maharashtra,470.5,KG,27.47,27.47,27.47,2025-01-11,DELIVERED,2,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1011,PROD-TOM-111,SELLER-FARMER-12,BUYER-RETAIL-12,Tomato,Hubballi,Karnataka,216.8,KG,28.7,28.7,28.7,2025-01-12,DELIVERED,5,DELIVERED_SLIGHT_DELAY,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1012,PROD-ONI-112,SELLER-FARMER-13,BUYER-RETAIL-13,Onion,Nashik,Maharashtra,414.0,KG,31.6,31.6,31.6,2025-01-13,DELIVERED,3,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1013,PROD-POT-113,SELLER-FARMER-14,BUYER-RETAIL-14,Potato,Pune,Maharashtra,499.6,KG,23.02,23.02,23.02,2025-01-14,DELIVERED,4,DELIVERED_SLIGHT_DELAY,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1014,PROD-RIC-114,SELLER-FARMER-15,BUYER-RETAIL-15,Rice,Hubballi,Karnataka,149.2,KG,54.02,54.02,54.02,2025-01-15,DELIVERED,4,DELIVERED_SLIGHT_DELAY,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1015,PROD-WHE-115,SELLER-FARMER-1,BUYER-RETAIL-16,Wheat,Nashik,Maharashtra,459.7,KG,24.3,24.3,24.3,2025-01-16,DELIVERED,3,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1016,PROD-TOM-116,SELLER-FARMER-2,BUYER-RETAIL-17,Tomato,Hubballi,Karnataka,34.9,KG,30.66,30.66,30.66,2025-01-17,DELIVERED,5,DELIVERED_SLIGHT_DELAY,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1017,PROD-ONI-117,SELLER-FARMER-3,BUYER-RETAIL-18,Onion,Nashik,Maharashtra,377.6,KG,31.66,31.66,31.66,2025-01-18,DELIVERED,4,DELIVERED_SLIGHT_DELAY,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1018,PROD-POT-118,SELLER-FARMER-4,BUYER-RETAIL-19,Potato,Pune,Maharashtra,238.3,KG,24.52,24.52,24.52,2025-01-19,DELIVERED,3,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1019,PROD-RIC-119,SELLER-FARMER-5,BUYER-RETAIL-20,Rice,Hubballi,Karnataka,304.8,KG,56.91,56.91,56.91,2025-01-20,DELIVERED,3,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1020,PROD-WHE-100,SELLER-FARMER-6,BUYER-RETAIL-21,Wheat,Nashik,Maharashtra,299.2,KG,25.97,23.42,23.42,2025-01-21,DELIVERED,4,DELIVERED_SLIGHT_DELAY,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1021,PROD-TOM-101,SELLER-FARMER-7,BUYER-RETAIL-22,Tomato,Hubballi,Karnataka,176.8,KG,28.7,27.74,27.74,2025-01-22,DELIVERED,2,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1022,PROD-ONI-102,SELLER-FARMER-8,BUYER-RETAIL-23,Onion,Nashik,Maharashtra,485.6,KG,34.86,34.86,34.86,2025-01-23,DELIVERED,3,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1023,PROD-POT-103,SELLER-FARMER-9,BUYER-RETAIL-24,Potato,Pune,Maharashtra,361.7,KG,22.05,22.05,22.05,2025-01-24,DELIVERED,3,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1024,PROD-RIC-104,SELLER-FARMER-10,BUYER-RETAIL-25,Rice,Hubballi,Karnataka,422.1,KG,56.18,56.18,56.18,2025-01-25,DELIVERED,2,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1025,PROD-WHE-105,SELLER-FARMER-11,BUYER-RETAIL-1,Wheat,Nashik,Maharashtra,436.9,KG,25.45,25.45,25.45,2025-01-26,DELIVERED,3,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1026,PROD-TOM-106,SELLER-FARMER-12,BUYER-RETAIL-2,Tomato,Hubballi,Karnataka,123.7,KG,29.33,29.33,29.33,2025-01-27,DELIVERED,4,DELIVERED_SLIGHT_DELAY,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1027,PROD-ONI-107,SELLER-FARMER-13,BUYER-RETAIL-3,Onion,Nashik,Maharashtra,404.7,KG,36.51,33.17,33.17,2025-01-28,DELIVERED,3,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1028,PROD-POT-108,SELLER-FARMER-14,BUYER-RETAIL-4,Potato,Pune,Maharashtra,202.8,KG,23.77,23.77,23.77,2025-01-29,DELIVERED,3,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1029,PROD-RIC-109,SELLER-FARMER-15,BUYER-RETAIL-5,Rice,Hubballi,Karnataka,341.3,KG,62.74,59.98,59.98,2025-01-30,DELIVERED,3,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1030,PROD-WHE-110,SELLER-FARMER-1,BUYER-RETAIL-6,Wheat,Nashik,Maharashtra,274.1,KG,23.24,23.24,23.24,2025-01-31,DELIVERED,4,DELIVERED_SLIGHT_DELAY,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1031,PROD-TOM-111,SELLER-FARMER-2,BUYER-RETAIL-7,Tomato,Hubballi,Karnataka,182.5,KG,32.03,28.97,28.97,2025-02-01,DELIVERED,2,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1032,PROD-ONI-112,SELLER-FARMER-3,BUYER-RETAIL-8,Onion,Nashik,Maharashtra,395.4,KG,34.01,31.92,31.92,2025-02-02,DELIVERED,3,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
ORD-DEMO-1033,PROD-POT-113,SELLER-FARMER-4,BUYER-RETAIL-9,Potato,Pune,Maharashtra,468.7,KG,23.29,21.37,21.37,2025-02-03,DELIVERED,3,DELIVERED_ON_TIME,SYNTHETIC / DEMO DATA — NOT REAL OBSERVATIONS
